1458325048;5001;1;1;783;290;30237;32.1;70.0;17.39
1458325047;5001;1;1;810;5;30242;32.1;71.0;17.2
1458325046;5001;1;1;783;481;30239;32.1;71.0;17.0
1458325045;5001;1;1;756;23;30243;32.1;70.0;17.33
1458325044;5001;1;1;819;10;30241;32.1;71.0;17.39
1458325043;5001;1;1;792;7;30239;32.1;71.0;16.9
1458325042;5001;1;1;810;8;30240;32.1;71.0;17.17
1458325041;5001;1;1;756;99;30237;32.1;71.0;17.49
1458325040;5001;1;1;756;7;30236;32.1;70.0;17.33
1458325039;5001;1;1;783;11;30237;32.1;70.0;17.3
1458325038;5001;1;1;774;4;30235;32.1;70.0;17.66
1458325037;5001;1;1;774;5;30228;32.2;70.0;17.52
1458325035;5001;1;1;756;249;30240;32.2;71.0;17.43
1458325034;5001;1;1;720;4;30244;32.1;71.0;17.2
1458325033;5001;1;1;774;7;30242;32.2;71.0;17.26
1458325032;5001;1;1;765;303;30236;32.2;71.0;17.3
1458325031;5001;1;1;738;391;30241;32.2;71.0;16.87
1458325030;5001;1;1;747;7;30236;32.2;71.0;17.69
1458325029;5001;1;1;774;112;30241;32.2;70.0;17.52
1458325028;5001;1;1;783;10;30237;32.3;71.0;17.33
1458325027;5001;1;1;819;67;30241;32.2;71.0;17.69
1458325026;5001;1;1;783;8;30241;32.2;71.0;17.56
1458325025;5001;1;1;801;10;30235;32.3;71.0;17.56
1458325024;5001;1;1;810;8;30241;32.3;71.0;17.49
1458325023;5001;1;1;846;11;30237;32.3;71.0;17.3
1458325022;5001;1;1;837;56;30235;32.3;70.0;17.56
1458325020;5001;1;1;837;155;30240;32.3;70.0;17.46
1458325019;5001;1;1;837;19;30239;32.3;70.0;17.26
1458325018;5001;1;1;837;86;30234;32.3;71.0;17.43
1458325017;5001;1;1;828;5;30237;32.3;71.0;17.33
1458325016;5001;1;1;828;31;30239;32.3;71.0;17.46
1458325015;5001;1;0;855;165;30239;32.3;70.0;17.39
1458325014;5001;1;0;882;9;30239;32.3;70.0;17.17
1458325013;5001;1;1;828;7;30229;32.3;70.0;17.39
1458325012;5001;1;1;828;11;30238;32.3;70.0;16.97
1458325011;5001;1;1;801;192;30229;32.3;70.0;16.9
1458325010;5001;1;1;864;173;30228;32.3;70.0;17.43
1458325008;5001;1;1;855;9;30236;32.3;70.0;17.3
1458325007;5001;1;1;846;8;30238;32.3;71.0;17.66
1458325006;5001;1;1;846;72;30237;32.3;70.0;17.36
1458325005;5001;1;1;846;9;30235;32.3;70.0;17.3
1458325004;5001;1;1;819;235;30234;32.3;70.0;17.23
1458325002;5001;1;1;828;7;30238;32.3;71.0;17.36
1458325001;5001;1;1;873;26;30237;32.3;70.0;17.46
1458325000;5001;1;1;882;190;30236;32.3;71.0;17.43
1458324999;5001;1;1;855;10;30239;32.3;70.0;17.2
1458324997;5001;1;1;837;71;30234;32.3;71.0;17.52
1458324996;5001;1;1;846;216;30241;32.3;71.0;17.3
1458324995;5001;1;1;855;8;30236;32.3;71.0;17.17
1458324994;5001;1;1;855;294;30236;32.3;71.0;17.13
